City,Country,Date,Latitude,Longitude,Max Temperature,Cloudiness,Humidity,Wind Speed
Mahébourg,MU,1631234603,-20.4081,57.7,20.14,75,94,2.57
Chui,UY,1631234605,-33.6971,-53.4616,11.21,90,95,3.26
Hermanus,ZA,1631234607,-34.4187,19.2345,12.72,100,52,4.29
Saint-Pierre,RE,1631234608,-21.3393,55.4781,19.8,0,59,3.09
Jamestown,US,1631234323,42.097,-79.2353,14.77,90,93,2.24
Vostok,RU,1631234612,46.4856,135.8833,19.73,100,58,0.53
Deputatsky,RU,1631234613,69.3,139.9,2.98,100,51,0.86
Nikolskoye,RU,1631234615,59.7035,30.7861,11.94,99,96,1.6
Mandalgovi,MN,1631234617,45.7625,106.2708,13.8,0,43,1.33
Hong Kong,HK,1631234438,22.2855,114.1577,31.65,100,77,0.89
Acapulco de Juárez,MX,1631234620,16.8634,-99.8901,25.74,100,90,1.55
Paamiut,GL,1631234622,61.994,-49.6678,6.35,100,95,1.26
Kapaa,US,1631234496,22.0752,-159.319,30.18,20,66,2.24
Half Moon Bay,US,1631234625,37.4636,-122.4286,30.41,75,77,7.72
Xining,CN,1631234627,36.6167,101.7667,13.59,0,55,1.29
Bambous Virieux,MU,1631234629,-20.3428,57.7575,20.12,75,94,2.57
Port Macquarie,AU,1631234420,-31.4333,152.9167,23.98,5,30,0.28
Lebu,CL,1631234632,-37.6167,-73.65,10.89,100,91,4.94
Nishihara,JP,1631234634,26.1842,127.7558,31.6,75,77,6.17
Avera,US,1631234635,33.194,-82.5271,26.93,100,54,3.05
Petrodvorets,RU,1631234637,59.885,29.8958,11.99,100,91,2.4
Codrington,AU,1631234639,-38.2667,141.9667,12.54,100,71,2.41
Touros,BR,1631234641,-5.1989,-35.4608,24.5,10,80,5.84
Gannan,CN,1631234642,47.9147,123.5031,11.91,7,69,2.99
Chodavaram,IN,1631234646,17.8333,82.95,26.91,100,89,0.78
Bagdarin,RU,1631234647,54.4333,113.6,10.37,66,81,2.26
Tiksi,RU,1631234649,71.6872,128.8694,8.72,74,53,3.5
Katsuura,JP,1631234651,35.1333,140.3,25.02,17,76,1.6
Cabo San Lucas,MX,1631234374,22.8909,-109.9124,26.75,90,81,5.36
Aktash,RU,1631234654,50.3,87.7333,0.72,99,83,0.47
Menongue,AO,1631234656,-14.6585,17.691,18.4,42,25,2.34
Mtambile,TZ,1631234657,-5.3833,39.7,23.89,19,76,5.0
Lagoa,PT,1631234659,39.05,-27.9833,22.03,3,89,7.03
Taber,CA,1631234536,49.8167,-112.1518,30.91,100,19,5.66
Khatanga,RU,1631234662,71.9667,102.5,14.75,36,60,6.82
Lady Frere,ZA,1631234664,-31.7031,27.2329,14.66,0,47,3.37
Faanui,PF,1631234666,-16.4833,-151.75,25.47,45,75,7.92
Ubari,LY,1631234668,26.5921,12.7805,27.64,0,26,3.62
Ormond Beach,US,1631234669,29.2858,-81.0559,27.23,75,70,2.57
Nālūt,LY,1631234671,30.3333,10.85,27.87,0,25,5.07
Isla Mujeres,MX,1631234673,21.2311,-86.731,28.03,36,83,3.78
Geraldton,AU,1631234675,-28.7667,114.6,17.23,90,72,3.09
Gorkovskiy,RU,1631234676,45.6542,41.199,12.06,0,75,4.54
South Venice,US,1631234678,27.0531,-82.4243,28.32,1,86,2.06
Yichun,CN,1631234658,47.7,128.9,12.96,100,92,3.11
Bhadrāchalam,IN,1631234681,17.6667,80.8833,24.79,97,94,0.55
Sinnamary,GF,1631234683,5.3833,-52.95,25.88,47,84,4.5
Hobart,AU,1631234685,-42.8794,147.3294,13.36,40,57,2.24
Saint George,US,1631234687,37.1041,-113.5841,34.74,1,25,1.34
Airai,TL,1631234688,-8.9266,125.4092,22.28,65,49,2.46
Winnemucca,US,1631234690,40.973,-117.7357,37.03,1,8,6.69
Payo,ID,1631234692,-3.7508,103.6372,25.57,100,78,0.48
Griffith,US,1631234471,41.5284,-87.4237,21.96,1,60,2.57
Yenagoa,NG,1631234695,4.9247,6.2642,24.37,100,95,1.75
Jasper,US,1631234697,37.2001,-94.3502,26.04,0,71,1.94
Chokurdakh,RU,1631234698,70.6333,147.9167,2.19,100,72,1.29
Hobyo,SO,1631234700,5.3505,48.5268,24.94,99,82,10.09
Barrow,US,1631234702,71.2906,-156.7887,6.01,75,81,7.72
Husavik,IS,1631234704,66.0449,-17.3389,7.95,100,56,3.7
Saint-Paul-lès-Dax,FR,1631234706,43.7272,-1.0516,19.29,91,95,0.0
Constitución,CL,1631234707,-35.3333,-72.4167,12.47,100,82,3.34
Ostrovnoy,RU,1631234709,68.0531,39.5131,4.12,99,89,7.24
Isangel,VU,1631234711,-19.55,169.2667,24.06,75,64,4.12
Ribeira Grande,PT,1631234713,38.5167,-28.7,22.45,7,89,5.62
Yangi Marg`ilon,UZ,1631234714,40.4272,71.7189,20.4,7,42,2.06
Tommot,RU,1631234718,58.9564,126.2925,12.37,6,50,3.9
Maţāy,EG,1631234719,28.419,30.7792,24.69,0,65,4.91
Talcahuano,CL,1631234721,-36.7167,-73.1167,13.82,0,82,2.57
Bluff,NZ,1631234723,-46.6,168.3333,8.22,95,72,10.16
Freeport,US,1631234651,40.6576,-73.5832,21.77,90,95,0.45
Port Elizabeth,ZA,1631234611,-33.918,25.5701,16.16,0,82,6.17
Lavrentiya,RU,1631234728,65.5833,-171.0,6.59,100,99,4.2
Zeya,RU,1631234729,53.75,127.2667,13.01,100,96,3.15
Berlevåg,NO,1631234731,70.8578,29.0864,5.98,97,79,6.96
Bartica,GY,1631234733,6.4,-58.6167,24.18,56,97,1.32
Buchanan,LR,1631234736,5.8808,-10.0467,24.72,90,88,3.36
Tuatapere,NZ,1631234738,-46.1333,167.6833,8.23,88,83,3.81
Santa Cruz de la Sierra,BO,1631234526,-17.8,-63.1667,20.7,75,37,3.6
Dergachi,RU,1631234743,51.2328,48.7659,16.7,100,53,4.6
Maïné Soroa,NE,1631234744,13.2114,12.0241,25.76,62,63,2.62
Lüderitz,NA,1631234746,-26.6481,15.1594,11.99,54,84,1.63
Port Hardy,CA,1631234722,50.6996,-127.4199,13.1,75,94,2.06
Bengkulu,ID,1631234749,-3.8004,102.2655,25.23,92,80,3.55
Kalanguy,RU,1631234751,51.0167,116.5167,6.42,100,77,3.68
Palu,ID,1631234753,-0.8917,119.8707,24.79,100,96,1.08
Belize,BZ,1631234755,17.25,-88.75,27.57,6,88,1.72
Hamilton,US,1631234756,39.1834,-84.5333,20.86,22,68,1.62
Puerto Ayora,EC,1631234760,-0.7393,-90.3518,21.42,67,87,3.58
Severnoye,RU,1631234761,56.3491,78.3619,7.59,100,92,3.67
Dubovskoye,RU,1631234763,47.4092,42.7575,14.15,0,44,2.37
Manche,FR,1631234766,49.0,-1.1667,16.67,73,94,2.11
Clyde River,CA,1631234768,70.4692,-68.5914,-0.18,91,70,1.68
Mar del Plata,AR,1631234770,-38.0023,-57.5575,11.01,90,93,9.26
São João da Barra,BR,1631234771,-21.6403,-41.0511,23.08,13,90,7.21
Iqaluit,CA,1631234773,63.7506,-68.5145,3.85,40,81,4.12
Esperance,AU,1631234775,-33.8667,121.9,14.91,48,79,5.05
Anchorage,US,1631234689,61.2181,-149.9003,16.9,40,73,0.0
Yar-Sale,RU,1631234780,66.8333,70.8333,3.24,39,82,3.7
Nur-Sultan,KZ,1631234781,51.1801,71.446,9.97,0,66,4.0
Aripuanã,BR,1631234785,-9.1667,-60.6333,21.56,100,91,1.05
Bredasdorp,ZA,1631234788,-34.5322,20.0403,14.62,100,67,2.57
Cherskiy,RU,1631234790,68.75,161.3,2.12,100,72,6.04
Longyearbyen,SJ,1631234791,78.2186,15.6401,3.91,75,70,3.6
Ziro,IN,1631234793,27.6333,93.8333,15.15,100,92,1.12
Yilan,TW,1631234795,24.757,121.753,34.06,0,60,2.5
Norman Wells,CA,1631234797,65.282,-126.8329,17.02,20,45,6.17
Pevek,RU,1631234798,69.7008,170.3133,-0.3,100,76,7.48
Chicama,PE,1631234800,-7.8447,-79.1469,15.3,88,83,2.81
Petropavlovsk-Kamchatskiy,RU,1631234574,53.0452,158.6483,12.33,75,62,2.0
Bilma,NE,1631234803,18.6853,12.9164,33.41,61,16,3.52
São José da Coroa Grande,BR,1631234805,-8.8978,-35.1478,24.2,64,84,3.32
Ashland,US,1631234807,40.8167,-82.2665,16.57,2,78,2.46
Opuwo,NA,1631234809,-18.0607,13.84,19.22,5,21,1.95
Ponta do Sol,PT,1631234810,32.6667,-17.1,24.35,100,81,1.56
Mawlaik,MM,1631234812,23.6333,94.4167,24.87,98,98,0.41
Emba,KZ,1631234814,48.8264,58.1442,12.77,71,34,7.49
Salto,UY,1631234815,-31.3833,-57.9667,13.27,100,78,5.43
Laichow,CN,1631234817,37.1717,119.9214,24.73,17,82,2.88
Srednekolymsk,RU,1631234819,67.45,153.6833,2.39,100,77,5.01
Ojinaga,MX,1631234821,29.5667,-104.4167,34.67,40,21,4.12
Tiarei,PF,1631234822,-17.5333,-149.3333,28.01,30,70,6.12
Oliveira dos Brejinhos,BR,1631234824,-12.3169,-42.8961,24.95,5,34,1.89
Chuzhou,CN,1631234826,32.3219,118.2978,27.73,3,70,0.55
Dalbeattie,GB,1631234828,54.9328,-3.8227,16.58,100,99,1.25
Coahuayana Viejo,MX,1631234829,18.7333,-103.6833,29.71,55,89,1.12
Vanavara,RU,1631234831,60.34,102.2797,5.69,100,88,0.94
Kabul,AF,1631234833,34.5,69.4167,16.82,0,30,1.86
Letlhakeng,BW,1631234835,-24.0944,25.0298,14.97,0,80,5.93
Kaitangata,NZ,1631234836,-46.2817,169.8464,11.21,38,65,4.24
Lufilufi,WS,1631234838,-13.8745,-171.5986,30.88,23,76,6.98
Rome,US,1631234542,43.2128,-75.4557,18.06,1,84,2.06
Shahreza,IR,1631234841,32.0339,51.8794,17.53,0,25,1.47
Rehoboth,NA,1631234843,-23.3167,17.0833,17.19,1,19,1.88
Saint Paul Harbor,US,1631234845,57.79,-152.4072,11.73,90,82,14.4
Ilulissat,GL,1631234846,69.2167,-51.1,-0.99,16,80,1.54
Halden,NO,1631234848,59.1226,11.3871,14.74,64,95,1.41
Ixtapa,MX,1631234850,20.7,-105.2,29.57,90,74,2.06
Cockburn Town,TC,1631234852,21.4612,-71.1419,28.43,16,71,4.2
Vila Velha,BR,1631234853,-20.3297,-40.2925,23.97,75,83,7.2
Tasiilaq,GL,1631234855,65.6145,-37.6368,5.09,0,48,4.92
Brejo da Madre de Deus,BR,1631234792,-8.1458,-36.3711,18.11,37,95,2.23
Marsá Maţrūḩ,EG,1631234858,31.3525,27.2453,25.11,40,69,2.57
Ancud,CL,1631234860,-41.8697,-73.8203,8.01,61,90,1.02
Vila Franca do Campo,PT,1631234862,37.7167,-25.4333,22.23,100,82,3.64
Devonport,AU,1631234864,-41.1667,146.35,11.72,100,52,5.0
Nemuro,JP,1631234865,43.3236,145.575,19.24,93,90,6.17
Barranca,PE,1631234867,-10.75,-77.7667,15.94,46,89,3.4
Port Shepstone,ZA,1631234869,-30.7414,30.455,18.03,10,77,6.85
Upernavik,GL,1631234871,72.7868,-56.1549,0.74,69,74,2.31
Winona,US,1631234872,43.9666,-91.7668,21.16,1,82,0.0
Kununurra,AU,1631234712,-15.7667,128.7333,28.99,9,23,4.12
Adrar,MR,1631234876,20.5022,-10.0711,35.22,67,13,4.04
Alofi,NU,1631234877,-19.0595,-169.9187,26.94,75,78,6.17
Porosozero,RU,1631234879,62.7191,32.727,4.18,0,92,2.22
Rio Linda,US,1631234810,38.691,-121.4486,38.52,75,24,1.79
Ponazyrevo,RU,1631234885,58.3578,46.3142,5.21,30,97,1.64
Praia da Vitória,PT,1631234887,38.7333,-27.0667,23.14,40,88,6.24
Sioux Lookout,CA,1631234889,50.1001,-91.917,17.21,40,77,0.0
Egvekinot,RU,1631234891,66.3167,-179.1667,-0.09,100,93,9.13
Bethel,US,1631234892,41.3712,-73.414,20.33,100,93,1.63
Zhigansk,RU,1631234894,66.7697,123.3711,10.76,71,63,3.85
Eganville,CA,1631234896,45.5334,-77.0994,15.63,12,86,2.25
Guerrero Negro,MX,1631234897,27.9769,-114.0611,23.91,3,78,8.67
Nantucket,US,1631234601,41.2835,-70.0995,21.72,100,90,3.97
Tuktoyaktuk,CA,1631234901,69.4541,-133.0374,15.0,20,58,4.63
Rocha,UY,1631234903,-34.4833,-54.3333,9.35,31,98,2.9
Narsaq,GL,1631234905,60.9167,-46.05,6.65,99,88,0.49
Malinovoye Ozero,RU,1631234906,51.6753,79.7825,8.95,22,43,3.48
Tromsø,NO,1631234910,69.6496,18.957,7.01,75,76,2.57
Cidreira,BR,1631234911,-30.1811,-50.2056,16.0,32,68,7.48
Yanji,CN,1631234913,42.9075,129.5078,19.51,100,80,0.33
Viedma,AR,1631234915,-40.8135,-62.9967,8.56,95,95,3.69
Bairiki Village,KI,1631234918,1.3292,172.9752,30.0,75,70,5.14
Gobabis,NA,1631234920,-22.45,18.9667,18.76,66,36,5.71
Severodvinsk,RU,1631234922,64.5635,39.8302,5.06,97,87,3.82
Qasigiannguit,GL,1631234923,68.8193,-51.1922,-0.86,66,89,3.6
Ust-Maya,RU,1631234925,60.4167,134.5333,13.38,10,44,1.42
Ajdabiya,LY,1631234927,30.7554,20.2263,22.29,0,61,3.71
São Filipe,CV,1631234929,14.8961,-24.4956,25.85,11,79,3.02
Vardø,NO,1631234930,70.3705,31.1107,6.35,96,76,7.79
Mossamedes,AO,1631234932,-15.1961,12.1522,17.53,34,89,3.79
Poronaysk,RU,1631234935,49.2167,143.1167,17.17,92,78,1.08
Saint-François,FR,1631234937,46.4154,3.9054,17.49,100,94,1.03
Guangming,CN,1631234940,45.3333,122.7833,14.53,54,56,5.92
Rosarito,MX,1631234942,32.3333,-117.0333,34.12,97,75,3.97
Hay River,CA,1631234945,60.8156,-115.7999,10.99,90,93,7.2
Zilair,RU,1631234947,52.2332,57.4392,10.59,100,97,6.74
Soe,ID,1631234949,-9.8607,124.284,23.84,98,61,4.37
Yellowknife,CA,1631234951,62.456,-114.3525,11.29,90,66,5.66
Smithers,CA,1631234954,54.7804,-127.1743,17.18,20,48,2.06
East London,ZA,1631234709,-33.0153,27.9116,17.01,3,77,9.46
Timrå,SE,1631234957,62.487,17.3257,9.26,90,100,3.6
Beli Manastir,HR,1631234959,45.77,18.6036,14.66,48,56,1.26
San Jerónimo,PE,1631234961,-11.9472,-75.2829,8.36,100,92,1.14
Vaitape,PF,1631234962,-16.5167,-151.75,25.47,50,75,7.91
Khuldābād,IN,1631234964,20.05,75.1833,21.51,100,91,3.31
Saint-Augustin,CA,1631234966,51.226,-58.6502,15.47,100,97,4.23
Bay Roberts,CA,1631234968,47.5999,-53.2648,17.24,100,93,1.34
La Asuncion,VE,1631234969,11.0333,-63.8628,28.85,31,74,7.2
Provideniya,RU,1631234973,64.3833,-173.3,9.06,90,76,4.0
Bodden Town,KY,1631234974,19.2833,-81.25,28.89,26,83,2.24
Neiafu,TO,1631234976,-18.65,-173.9833,25.38,75,83,3.6
Montepuez,MZ,1631234978,-13.1256,38.9997,18.82,5,69,3.91
Ilhabela,BR,1631234980,-23.7781,-45.3581,22.46,97,94,1.59
Doha,QA,1631234981,25.2867,51.5333,33.99,0,52,4.12
Andros Town,BS,1631234985,24.7,-77.7667,28.98,41,72,1.56
Butaritari,KI,1631234986,3.0707,172.7902,28.44,2,73,6.17
Puerto Nariño,CO,1631234988,-3.7703,-70.3831,25.97,97,93,1.22
Tupaciguara,BR,1631234990,-18.5922,-48.705,26.51,2,34,2.8
Nagorsk,RU,1631234991,59.3172,50.8078,3.88,90,97,3.57
Saint Anthony,US,1631234993,45.0205,-93.218,22.18,1,60,2.57
Del Rio,US,1631234995,29.3627,-100.8968,38.06,1,23,5.14
Laguna,US,1631234997,38.421,-121.4238,38.58,1,27,2.68
Podporozh'ye,RU,1631234998,60.9112,34.1706,7.01,25,97,1.65
Rach Gia,VN,1631235000,10.0167,105.0833,24.97,96,79,5.73
Pringsewu,ID,1631235003,-5.3582,104.9744,26.11,27,78,2.03
Saquarema,BR,1631235005,-22.92,-42.5103,25.01,98,92,0.8
Aden,YE,1631235008,12.7794,45.0367,31.33,98,66,4.7
Moerai,PF,1631235010,-22.4333,-151.3333,21.6,39,71,5.46
Juba,SS,1631235013,4.8517,31.5825,20.75,100,93,1.11
Halifax,CA,1631234850,44.6453,-63.5724,22.05,90,95,1.34
Prado,BR,1631235018,-17.3411,-39.2208,23.13,7,87,4.76
Westport,US,1631234962,41.1415,-73.3579,21.37,100,95,0.45
Atlantis,ZA,1631235021,-33.5667,18.4834,14.42,100,88,5.53
Katobu,ID,1631235023,-4.9408,122.5276,25.14,100,93,2.03
Slave Lake,CA,1631235025,55.2834,-114.769,16.99,75,63,6.17
Francistown,BW,1631235026,-21.17,27.5079,14.76,1,90,5.9
Östersund,SE,1631235028,63.1792,14.6357,10.25,90,93,0.51
Vao,NC,1631235030,-22.6667,167.4833,20.0,99,65,6.36
Naze,JP,1631235032,28.3667,129.4833,27.51,7,75,2.99
Fairbanks,US,1631235004,64.8378,-147.7164,18.98,1,53,0.0
Carnarvon,AU,1631235036,-24.8667,113.6333,20.04,62,83,5.66
Vestmannaeyjar,IS,1631235038,63.4427,-20.2734,10.95,90,77,1.3
Abalak,RU,1631235040,58.1286,68.5944,8.74,100,95,4.31
Leshukonskoye,RU,1631235042,64.8989,45.7622,4.23,97,90,2.97
Linkou,CN,1631235046,45.3,130.2833,18.2,100,81,4.99
George Town,MY,1631235004,5.4112,100.3354,26.61,20,87,1.54
High Rock,BS,1631235051,26.6208,-78.2833,26.01,2,66,4.23
Sobolevo,RU,1631235053,54.4299,31.8996,14.56,95,85,3.49
Verkhnyaya Inta,RU,1631235055,65.9811,60.3094,5.34,100,98,4.81
Dingle,PH,1631235057,10.9995,122.6711,25.41,100,92,4.07
Marion,US,1631235058,39.7684,-86.1555,21.18,36,69,1.82
Gargždai,LT,1631235060,55.7128,21.4033,13.41,14,83,3.43
Mackay,AU,1631235062,-21.15,149.2,21.99,40,73,7.2
Phalodi,IN,1631235065,27.1333,72.3667,29.45,16,68,4.48
Huarmey,PE,1631235067,-10.0681,-78.1522,17.4,49,86,4.13
Raja,SS,1631235070,8.4596,25.678,20.1,100,97,1.8
Lorengau,PG,1631235072,-2.0226,147.2712,29.61,26,71,7.23
Pangai,TO,1631235073,-19.8,-174.35,23.06,90,83,6.69
Osa,RU,1631235075,57.2829,55.4567,6.83,35,96,3.94
Darhan,MN,1631235077,49.4867,105.9228,11.67,63,69,1.25
Torbay,CA,1631235081,47.6666,-52.7314,16.82,20,90,4.63
Iskateley,RU,1631235083,67.6803,53.1512,4.28,95,88,4.52
San Vicente,AR,1631235085,-26.6167,-54.1333,9.2,0,82,0.59
Aklavik,CA,1631235086,68.2191,-135.0107,18.46,100,61,4.36
Wairoa,NZ,1631235090,-39.0333,177.3667,19.75,100,43,4.92
Tsimmerbude,RU,1631235091,54.675,20.1347,14.03,11,77,4.1
Salalah,OM,1631234957,17.0151,54.0924,26.05,90,94,1.54
Kedrovyy,RU,1631235095,56.1667,91.8167,6.23,17,60,5.24
Nong Kung Si,TH,1631235096,16.65,103.3,25.08,94,91,1.78
Igarka,RU,1631235098,67.4667,86.5833,8.59,100,91,5.72
San Ignacio,BZ,1631235014,17.1561,-89.0714,27.08,40,83,2.06
Tsumeb,NA,1631235101,-19.2333,17.7167,13.75,1,27,6.04
Esim,GH,1631235103,4.8699,-2.2405,24.37,75,91,2.39
Russell,US,1631235105,32.3502,-85.1999,23.6,1,85,0.0
Rodrigues Alves,BR,1631235106,-7.738,-72.6509,23.71,3,80,0.9
Plettenberg Bay,ZA,1631235108,-34.0527,23.3716,23.85,100,34,4.3
Labuhan,ID,1631235110,-6.8844,112.2051,27.49,47,69,2.92
Zhengjiatun,CN,1631235113,43.5064,123.5064,17.5,0,77,2.59
Harper,LR,1631235115,4.375,-7.7169,25.09,100,88,4.68
Kitsuki,JP,1631235117,33.4167,131.6167,25.9,40,78,1.54
Porto Santo,PT,1631235118,33.072,-16.3415,23.95,20,78,1.54
Santa Rosa,PH,1631235120,14.3122,121.1114,29.49,100,72,2.37
Bako,ET,1631235122,5.7833,36.5667,17.29,93,75,1.09
Fallon,US,1631235124,39.4735,-118.7774,35.88,88,16,6.07
Phan Thiet,VN,1631235125,10.9333,108.1,26.36,100,86,4.03
La Ronge,CA,1631235127,55.1001,-105.2842,20.14,75,56,2.57
Hofn,IS,1631235129,64.2539,-15.2082,9.81,18,56,2.09
Thompson,CA,1631235007,55.7435,-97.8558,18.09,90,63,1.54
Palmer,US,1631235132,42.1584,-72.3287,20.51,90,85,2.06
Udachny,RU,1631235134,66.4167,112.4,12.77,14,46,3.24
Luanda,AO,1631235078,-8.8368,13.2343,22.29,11,88,3.19
Nanortalik,GL,1631235137,60.1432,-45.2371,7.08,100,91,2.56
Beira,MZ,1631235139,-19.8436,34.8389,23.05,40,83,7.2
Cayenne,GF,1631235141,4.9333,-52.3333,27.27,0,83,0.45
Plaridel,PH,1631235142,14.8872,120.8572,29.49,100,80,2.98
Praia,CV,1631235144,14.9215,-23.5087,26.3,75,83,2.06
Pisco,PE,1631235146,-13.7,-76.2167,16.03,10,82,6.17
Severo-Kuril'sk,RU,1631235149,50.6789,156.125,10.59,100,58,9.55
Port Lincoln,AU,1631235151,-34.7333,135.8667,20.13,0,36,5.95
Dolní Lutyně,CZ,1631235153,49.8988,18.4282,14.42,7,92,2.63
Ariquemes,BR,1631234878,-9.9133,-63.0408,23.29,100,94,3.18
Mount Gambier,AU,1631235156,-37.8333,140.7667,11.95,100,87,4.63
Semey,KZ,1631235158,50.4111,80.2275,4.12,0,87,3.0
Chickasha,US,1631235159,35.0526,-97.9364,31.38,1,30,3.09
Aksu,CN,1631235161,41.1231,80.2644,23.64,100,23,1.59
Simões,BR,1631235163,-7.5989,-40.8178,24.6,6,41,3.35
Kwinana,AU,1631235165,-32.25,115.7667,13.29,1,88,0.45
Mehamn,NO,1631235166,71.0357,27.8492,5.84,99,80,5.24
Siyabuswa,ZA,1631235168,-25.1132,29.0445,14.52,0,80,2.38
Maraã,BR,1631235170,-1.8333,-65.3667,23.89,46,91,1.6
Lakes Entrance,AU,1631235172,-37.8811,147.981,15.87,100,64,2.84
Nuuk,GL,1631235175,64.1835,-51.7216,4.66,82,63,5.25
Villazón,BO,1631235177,-22.0866,-65.5942,6.93,6,31,2.13
Tautira,PF,1631235178,-17.7333,-149.15,28.01,72,68,5.92
Sakaiminato,JP,1631235129,35.55,133.2333,23.99,40,73,1.54
Meulaboh,ID,1631235182,4.1363,96.1285,24.69,99,81,1.47
Pangnirtung,CA,1631235183,66.1451,-65.7125,2.35,99,75,1.07
San Jose,US,1631234949,37.3394,-121.895,32.92,75,47,4.63
Beringovskiy,RU,1631235187,63.05,179.3167,5.38,100,86,6.15
Lipno,PL,1631235188,52.8444,19.1785,13.89,10,62,3.21
Wukari,NG,1631235190,7.85,9.7833,22.98,70,94,1.63
Kiryat Gat,IL,1631235124,31.61,34.7642,27.12,21,100,3.12
Lázaro Cárdenas,MX,1631235038,17.9583,-102.2,26.64,100,82,1.83
Khani,GE,1631235197,41.9563,42.9566,14.76,1,77,2.43
Kosh-Agach,RU,1631235198,50.0,88.6667,4.63,100,73,0.7
Namtsy,RU,1631235200,62.7161,129.6658,9.06,80,36,0.78
Tabou,CI,1631235202,4.423,-7.3528,24.73,99,90,3.77
Blythe,US,1631235136,33.6103,-114.5964,43.35,1,14,7.39
Suoyarvi,RU,1631235205,62.0833,32.35,4.82,3,88,2.24
Celendín,PE,1631235207,-6.8703,-78.1517,13.33,82,80,0.7
Edgewater,US,1631235210,28.9889,-80.9023,27.05,75,83,5.14
Carballo,ES,1631235212,43.213,-8.691,18.26,31,97,2.09
Yuzhnyy,RU,1631235213,53.2542,83.6936,10.21,0,50,4.0
Daru,PG,1631235215,-9.0763,143.2092,26.87,65,83,8.09
Kantunilkín,MX,1631235217,21.0917,-87.45,25.76,95,84,1.92
Dolzhanskaya,RU,1631235220,46.6311,37.8039,18.16,0,55,5.72
Polovinnoye,RU,1631235222,54.7914,65.9864,9.1,100,91,6.85
Porlamar,VE,1631235224,10.958,-63.8491,29.05,24,74,7.2
Wattegama,LK,1631235225,6.7989,81.4808,24.51,100,79,2.39
Maralal,KE,1631235227,1.0968,36.698,14.93,100,82,2.08
